by,category,created,desc,goal,location,shares,title,total
,,,,,,,,
"4,729",Medical,"Created July 20, 2018","

                        ,Ganga was the life of every party, the person who could pray for somebody else even when she was pregnant at full term. She is a self less soul who always places the happiness of others above hers.,When she got pregnant the 2nd time, we were excited as friends to see the baby boy. She got herself checked in for delivery at Stanford medical facility - Dublin the night of 16th May 2018. Its been 65 days but Ganga hasn’t returned home. Ganga went through 2 cardiac arrests, brain damage and has been in coma and a partial vegetative state past 65 days. ,Ganga was diagnosed with ,. A rare childbirth (obstetric) emergency in which amniotic fluid, enters the blood stream of the mother to trigger a serious reaction. When she was awaiting delivery the night of, the, percolated into her system putting her heart through ,. The CPR brought her back temporarily but the fluid mixed blood had affected the brain pushing her into ,.,Her husband Sriram, our dear friend has not left her side since that day. It kills him to watch the enigma of his life, lying unresponsive to the very voices that filled her life. Her little child still thinks her mom is just unwell and will come back and hug her soon, the baby boy Rithvin has not felt the touch of his dear mother till this day.,At this heart wrenching moment, we would like your help to keep Ganga in the facility, so she receives the much needed treatment to recover. The family has undergone unimaginable trauma in a matter of hours and its been 65 days of suffering.,Our hopes are high, she is taking baby steps of progress now, she opens her eyes, but can’t process her surrounding yet. She can hear you speak but cannot respond yet. But we are happy she has progressed thus far. We seek your help to continue the treatment and hospital care such that our Ganga returns back to us the way she was in fullness and health. Her little children have suffered enough and should be able to re-unite with their mother soon. The loving husband Sriram needs to trust that there is still goodness in this world and he can piece his family together very soon.,We as friends, appeal to you to contribute as much as you can to help pay for the medical expenses.,** please refrain from contacting the family at this point of time**
                    ","
 of $225,000 goal","DUBLIN, CA",9.8k,A chance of rebirth,"$238,463 "
,,,,,,,,
"5,637",Medical,"Created May 18, 2018","

                        ,: Many fundraisers have been put into place to raise funds for the Stoy Family to cover the cost of the transplant. Nearly a month into fundraising, Olivia's story had reached so many people that the initial goal was met! $350,000 was the cost of the initial procedure and , include additional treatment: hospital stays longer than the allotted 50 days, medications, time off of work, and travel expenses. Depending on how fast Olivia's health progresses after the transplant, additional bills could add up fast. ,Now, Olivia wants to use this experience to bring light to childhood cancer and raise additional money for other children in medical battles of their own. As a result, she created , , a campaign designed to shed light on the struggles of childhood cancer through her own personal experiences and those of families she has met along the way. In an effort to help her through the recovery process, Olivia wants to raise $1 million for Liv It Up, to help give young cancer patients a chance at being a kid and their parents the peace of mind that they will have help paying for life-saving medical treatments like Olivia's.,Olivia Stoy was an active 12 year old girl, finishing her first year at Angola Middle School. What was thought to be a lingering cold turned out to be something much more serious. Olivia was sent from a local hospital to Riley Hospital for Children in Indianapolis and was eventually diagnosed with ,.  Right away, her team of doctors worked on her treatment plan.  Of course, there were a few bumps in the road: a chemo medication that at normal strength caused Olivia to have seizures; an infection which meant an automatic 2 week stay in the hospital; not to mention all of the trips to and from Riley in between those events.  But after all the ups and downs on February 14, 2017 Olivia was declared cancer free but would need to continue treatments through September 2018 to increase the chances of her cancer not returning.,During this time, many people asked how they could help, how could they donate. The Stoy family was not in need of funds at the time and Olivia wanted to make sure other kids could benefit from the work of the Child Life Specialists at Riley and Cancer Research. All money was directed to the Riley Foundation where Olivia chose it’s route. To date, over $50,000 has been donated to Riley in Olivia’s name. ,In March 2018, just one year after celebrating Olivia being cancer free, Olivia’s cancer returned. It was devastating for all who followed her story. Right away the doctors at Riley worked on a plan for Olivia’s relapse. The plan consisted of several rounds of chemotherapy and once the cancer is gone a bone marrow transplant will be needed. After testing members of Olivia’s immediate family, her brother was found to be a 100% match! The Stoy family is part of a faith sharing insurance plan that does not cover organ transplants, including bone marrow transplants. While the family has appealed to the insurance board, on May 14, 2018 the sharing/insurance plan , which is the recommended treatment option by doctors at Riley Hospital for Olivia’s survival.,We are fundraising for the Stoy Family to help cover the cost of the bone marrow transplant. The original estimate is $900,000. The family has negotiated a price with the hospital and , before for the bone marrow transplant can take place which is estimated to begin ,. Should any complication arise during Olivia’s treatment additional funds will be needed. If funds are raised that exceed the amount needed for the bone marrow transplant, the hope is that this fund can provide to other childhood cancer patients and their families for years to come in honor of Olivia Stoy, a true fighter and inspiration to so many!,Tax deductible checks can be made out to “Liv it Up” and mailed to Pleasant Lake Mennonite Church | c/o Liv It Up | 5142 S. Old US Hwy 27 Pleasant Lake, IN 46779.
                    ","
 of $1.0M goal","ASHLEY, IN",12k,Olivia Stoy:Transplant & Liv it up!,"$317,576 "
,,,,,,,,
"2,550",Medical,"Created June 25, 2018","

                        Kalea Avery, 6 years old, after experiencing several weeks of severe headache, had a brain tumor called Medulloblastoma removed on June 11,  2018.  Her 4 year old brother Noah Avery started complaining of headaches 2 weeks after Kalea.  He was also diagnosed with a brain tumor and had the removal on June 25, 2018.,Both Kalea and Noah will have to undergo intensive courses of both chemotherapy and radiation therapy.  ,The Childrens Hospital Los Angeles oncologists, the pediatric neurosurgeon , and her pediatrician have never encountered siblings having a diagnosis of brain tumor within weeks of each other.,Duncan Avery, the father, is the current surf coach ( and prior boys volleyball coach) at Redondo Union High School.  Nohea Avery , the mother, is a nurse practitioner that currently works in an outpatient medical office and was a former nurse at Torrance Memorial Medical Center Intensive Care Unit.
                    ","
 of $250,000 goal","REDONDO BEACH, CA",6.1k,Fight like the Averys,"$205,434 "
,,,,,,,,
652,Medical,"Created August 11, 2018","

                        ,
                    ","
 of $200,000 goal","MOUNT JULIET, TN",1.6k,Maya's Miracle & Road to Recovery,"$192,551 "
,,,,,,,,
930,Medical,"Created June 27, 2018","

                        

,


,


,


,
                    ","
 of $250,000 goal","TACOMA, WA",2.8k,Jacob Bury Recovery Fund,"$211,585 "
,,,,,,,,
"5,891",Memorials,"Created July 16, 2018","

                        ,During  my time living in the Washington DC area I have worked with Nole multiple times throughout his career and almost daily with his father for numerous years. I have set up and organized this campaign with the hope the funds collected through this platform help to ease the burden that surely is ahead for Nole's wife, two young children and the entire Remagen family. ,All money raised through this campaign has been set up for Nole's wife to have exclusive and direct access to all funds collected.,This is the only official fundraising site for Nole E. Remagen and his family. All other fund raising platforms or campaigns should be verified prior to contributing.
                    ","
 of $375,000 goal","WASHINGTON, DC",10k,Remagen Family,"$372,191 "
,,,,,,,,
"1,089",Medical,"Created May 5, 2018","

                        ,￼￼￼￼,Esther was diagnosed with cancer at the age of 26 in early 2016. ,Her rare form of cancer puts her in a situation where conventional medicine cannot help her any further.,She is pursuing alternate treatment at the , near San Diego where she will start receiving the intensive, targeted treatments her body is needing now more than ever. These treatments will strengthen her immune system as well as help it to recognize the cancerous cells in order to overcome them. ,She is scheduled to begin on Monday, May 7th, and will be needing the funds by May 27th at the latest.  Her father, Rick Ridings, is overseeing this account, withdrawals, and payments.  On May 8th, we increased the goal to $50,000 as they have now recommended extra treatments and continuing care. This is an urgent need and any amount you are able to contribute to her life is deeply appreciated! ,Please share this page and spread the word for this. Thank you! ,For more details, see below.,Read more of Esther's story on her blog:, ,Hi, I’m Esther Moore. I’m a mother, musician, a writer and blogger. I’m married to William Moore and we have a gorgeous little four year old boy who happens to have Down Syndrome. ,￼￼￼￼,About a year and a half after finding out Levy’s surprise diagnosis at birth, I was told at the age of 26 that my body was fighting a very aggressive, fast growing type of cancer  - triple negative breast cancer, one of the hardest to treat conventionally. I had two surgeries, an extensive one where they took out all my lymph nodes in my left arm and another when I found a second lump under my arm a few months later. ,￼￼￼￼,Then, I found a third lump - the third time the cancer had recurred within 9 months. At this point the doctors told me that they wouldn’t recommend surgery, because it would just keep coming back. They said that unfortunately, since it had shown to be so aggressive and recurring, any treatment they could give me like chemo and radiation would most likely only be palliative (just have a small chance of even extending my life), not curative. It was devastating to hear. ,After the surgeon told me it was now inoperable and that there was nothing else they could offer me that would be curative, we prayed about it and decided to move back from the UK to the place I had grown up to be near family - Jerusalem, Israel. ,I’ve been following an intensive natural/alternative treatment plan since the beginning that has helped a huge amount. We also have been blown away by how many people around the world have been praying for us and believing with us for total healing, that we believe has made a huge difference. Thankfully, this seemed to help delay the cancer spreading since the oncologist told me back in October 2016 that it would have spread to all my major organs within the next three months. Up until recently, it miraculously hadn’t spread at all and was still contained to the area under my arm. ,Recently, I’ve been in a lot more intense constant pain. My left arm has also become swollen, painful and unusable with symptoms of lymphedema (common after the surgery I had). We decided to go to the hospital here to see if anything could be done. After what felt like a million tests, scans and long days at the hospital, we found out the results...and they were not what we were hoping for. It showed that the cancer now had started to spread throughout my lymphatic system, and that they had also found a small mass on one of my vertebrae bones. It was so hard to hear, but we’re thankful that it hasn’t spread further and has not spread to any organs. Still, we knew something had to be done. ,Although this would now class it as stage four cancer, the doctors at the hospital said there was still hope. They told us there is a new cancer treatment called immunotherapy, a treatment that supercharges the immune system to fight against the cancer itself that has had incredible results - even for people with stage 4 cancer. ,After a lot of prayer and research and talking things through, we decided to look at clinics that specialise in this treatment. We found one near San Diego called the ,  that offers immunotherapy along with all of the intensive, non toxic treatments that I have researched and been wanting to do.  There are case studies of people who did these treatments at this Center who had ,  and had incredible results - even going home cancer free. The center combines the latest cutting edge medical treatments with holistic, natural non-toxic therapies to get the best results. From ,  it looks like they have helped thousands of people, many with stage 4 cancer, to massively improve and often become cancer free. ,Within a couple days of finding the clinic and it being confirmed to us that this seemed to be the next step, everything miraculously fell into place faster than we could have imagined. I’ll be flying out today (!!) to start treatment this Monday, the 7th of May.  We strongly feel that this is my best chance at getting my life back and being here for our son and future children. ,But, we need your help. All together the costs come to 30,000 US dollars for a three week treatment. Many people in my situation have had incredible results even in these three weeks, but included in this cost is a detailed intensive home treatment plan provided by the clinic for at least three months afterwards as well. We’re so thankful for the incredible support network we’ve had around us from the beginning from all over the world, and appreciate anything you can do to help us meet our goal by donating and/or sharing this page. Thank you for helping me conquer this cancer!
                    ","
 of $200,918 goal","MECHANICSBURG, PA",3.2k,Help Pay Esther’s Medical Bills,"$178,826 "
,,,,,,,,
"9,948",Memorials,"Created May 25, 2018","

                        Many of you know the incredible TotalBiscuit aka John Bain.  Many of you also know that he's been publicly fighting cancer for the last 4 years and recently passed from that fight.,John has had an incredible game's media career that spans at least 13 years.  During that time he's covered countless games including World of Warcraft and Starcraft 2 and it would be pretty hard to make a full list of games he's supported.  He was a journalist, entertainer, critic, philanthropist, and general good dude.  And he was one of the best.,In this career there are no medical plans, no retirement funds, and no golden parachutes.  The financial resources available are limited to the support of viewers and advertisers.  John's family Genna & Orion are faced with short and long term challenges around housing, living expenses, income security, medical care, and the special needs of Orion (their son).,Please join me in supporting Genna and Orion in this very trying time to help take one burden off their shoulders.,Note: I have personally talked to Genna.  She knows and is very appreciative of anyone showing their support.  Genna is the only person who can withdrawl from this gofundme.,Note to streamers: If you're looking to support the family, you can use this campaign if you want to raise money and have it go directly to them.
                    ","
 of $200,000 goal","LINCOLN, NE",3.1k,John Bain Memorial,"$343,460 "
,,,,,,,,
"4,913",Memorials,"Created July 28, 2018","

                        This page is set up for the family of our friend and fellow Marine, Kevin Quinn of Mashpee, MA.,Kevin was tragically taken from us on Saturday July 28 a little after midnight in Cotuit ,Ma in a motor vehicle crash as he was returning home from visiting his wife Kara (Sullivan) and their newborn baby daughter at the maternity department of Cape Cod Hospital. He was supposed to be returning to the hospital later that morning to bring them both home to begin their new life with their daughter.,As he was driving home he was hit head-on by a vehicle driven by a person who was being pursued by police and crossed the center line into Kevin's SUV. ,Kevin is a combat veteran with two deployments to Afghanistan, returning home to marry the love of his life Kara Sullivan of Yarmouth.,Kevin had started Quinn Excavation and Septic in Mashpee a couple of years ago.,Kevin was very much excited but nervous about being a father, his daughter, Logan Audrey Quinn, born on July 25, at 2:19 a.m.,We all told him that he was going to do just fine as a dad and that we felt really bad for any guy that wanted to date his daughter when she was old enough.,All donations and proceeds will go directly to help Kara and Logan.,We encourage all to please support the family of this fallen Marine, a man who sacrificed so much for this country and who spent many hours helping others who were less fortunate while never asking for anything in return. Please do what you can to help, Thank You.
                    ","
 of $250,000 goal","CENTERVILLE, MA",29k,Kevin Quinn Memorial Fund,"$314,470 "
,,,,,,,,
"14,147",Memorials,"Created June 21, 2018","

                        Hey everyone I opened up a gofundme account for my brother in law and he’s family due to financial difficulties at this moment since he’s death was so sudden and tragic. He was 15 yrs old and was stabbed to death by a group of multiple men Anything donated will be greatly appreciated. We appreciate your help and your prayers thank you very much.
                    ","
 of $15,000 goal","BRONX, NY",47k,Justice for Junior,"$339,611 "
,,,,,,,,
"7,655",Memorials,"Created July 7, 2018","

                        On Friday, July 6, 2018 as the Trinidad family were returning back to New Jersey, five members of their family (father and four daughters) were killed in a tragic car accident in Townsend, Delaware. The mother (Mary Rose) was the only survivor in their vehicle and currently hospitalized with serious injuries.,The father (Audie) was 61 years old, and his children include (Kaitlyn) a 20-year-old, (Danna) a 17-year-old and (Allison & Melissa) two 13-year-old twins.,However, any assistance of any kind is greatly appreciated at this difficult time.,We have been in touch with a designated family member (Audie’s eldest brother and his wife) and they are in support of our continued efforts! ,We will be sure to post updates as they are received. ,Please continue to keep Mary Rose uplifted in prayer and all of their friends and family as well.,Thank you in advance ,News link regarding the accident below:, ,
                    ","
 of $350,000 goal","TEANECK, NJ",63k,Trinidad Family Tragedy & Support,"$297,831 "
,,,,,,,,
"1,486",Medical,"Created May 12, 2018","

                        On his way to work at YoungLife's Frontier Ranch in Colorado, Blake was involved in a major car crash in which he was thrown from the car.  Currently, Blake is in a coma and is facing extensive medical operations.,Blake’s family has dedicated their lives to serving Jesus, continually putting others above themselves. Blake’s dad, for example, is a YoungLife staff member and continues to lead college student’s small groups at the University of Texas. The goal of this gofundme is to completely cover all monetary costs resulting from the accident. Any donation will directly support the Rodgers family and is greatly appreciated.,Message from Blake's brother, Zach:,“I’m super thankful for my relationship with Blake and have no regrets about how much time and energy we have given and continue to give to our relationship. I love him as well as I can, and he loves me as well as he can. We both also always put the Lord first in the relationship. If there’s anything I want others to learn from Blake’s accident is that siblings need to make amends and tell each other they love one another. There is no relationship too broken to fix. My challenge for you is that today, not tomorrow, you tell your siblings and best friends “I love you.””,Mark 16:15-18: “And he said to them, ""Go into all the world and proclaim the gospel to the whole creation. Whoever believes and is baptized will be saved, but whoever does not believe will be condemned. And these signs will accompany those who believe: in my name they will cast out demons; they will speak in new tongues; they will pick up SERPENTS with their hands; and if they drink any deadly poison, it will NOT HURT them; they will lay their hands on the sick, and they will recover.,The beneficiary for this campaign is Keith Rodgers, Blake's uncle. He will be handling withdrawals for Blake's family.
                    ","
 of $200,000 goal","AUSTIN, TX",5.6k,Blake Rodgers Medical Fund,"$168,800 "
,,,,,,,,
"1,977",Memorials,"Created September 15, 2018","

                        Mark Uptain passed away in a tragic hunting accident on September 14th.  He was doing one of activities he had extreme passion for. An experienced hunting guide in the backcountry of Wyoming.  While preparing to pack a Elk out, Mark was attacked by a Bear and sadly did not make it. Even more then the outdoors Mark loved his beautiful wife Sarah and their 5 amazing kids.   Please give what you can or share to help this family in their time of need.  I have been best friends with Sarah since the 2nd grade, we have done a lot of life together. I know I can’t take away the pain, but if we can help support Sarah to be able to focus on the kids and not worry about finances.   Thank you all.   Thank you to Sarah’s siblings Joe & Hannah for the go ahead with this GFM page.
                    ","
 of $200,000 goal","JACKSON, WY",8.8k,Mark Uptain’s  Wife & Kids,"$206,766 "
,,,,,,,,
"3,497",Memorials,"Created July 11, 2018","

                        On Tuesday, July 10, 2018, firefighter Captain Cory Barr, age 34, died responding to a gas leak which led to a tragic explosion in Sun Prairie, Wisconsin,He was a 15-year veteran of the volunteer fire department and well known in the community.  He and his wife, Abby owned the Barr House Tavern, which was destroyed along with other businesses.  ,Sun Prairie has lost a community member and friend.  Cory leaves behind his wife, Abby, and two little girls.  ,Bethlehem Lutheran Church, home church of Cory and Abby, has established this fund to support Abby and her family during this devastating time.,
                    ","
 of $250,000 goal","SUN PRAIRIE, WI",22k,Benefit for the Family of Cory Barr,"$211,138 "
,,,,,,,,
"1,241",Memorials,"Created June 14, 2018","

                        June 14, 2018,Today Mike Schambach passed away after a hard fought, year long battle with colon cancer.,The loss of such an extraordinary person: husband, father, brother, son, friend, teammate and coach so early in his life is an unimaginable tragedy.,Mike’s journey through athletics began in Bridgewater NJ on the field, as a star athlete playing many sports including soccer, hockey and lacrosse. It continued through his career as a Scarlet Knight, playing division I lacrosse at Rutgers.,Mike had a way of positively impacting the people around him no matter what the relationship or situation. He always made you feel like you were the center of his world when speaking with him. People always say that ""it's not about what you do, or what you say, it's how you make people feel."" Unknowingly and out of pure instinct Mike Schambach had the ability to make everyone around him feel good. His genuinely caring manner was present in every conversation and interaction that he engaged in.,His boundless patience and leadership made him an exceptional coach. His lacrosse coaching career included FDU, DeSales and Montclair State through May of 2018. His players, his staff and the programs he was involved with cherished his dedication, both on and off the field.,Mike and his wife Lindsay recently welcomed baby number 2, Cameron's little sister, Chloe Michelle on May 7th. Mikes’s caring demeanor made him a wonderful father and husband. His kindness, and generosity of spirit are traits that we can all try to emulate and remember. We can honor his legacy by saying thank you through support of his family.,100% of the proceeds (less 3% GFM processing fees) from this campaign will be donated to Mike’s family, we Thank you in advance for your generosity.,#SchambachStrong,
                    ","
 of $400,000 goal","BRIDGEWATER, NJ",3.3k,In Memory of Mike Schambach,"$200,746 "
,,,,,,,,
"10,129",Memorials,"Created September 16, 2018","

                        

,


,


,


,


,


,
                    ","
 of $1.7M goal","MIAMI BEACH, FL",22k,“The Ari Fuld Memorial Fund”,"$1,088,620 "
,,,,,,,,
598,Memorials,"Created June 18, 2018","

                        This GoFundMe Page is being established to provide financial support for the immediate family of Robert E. Jeans, Jr., who passed away tragically in an automobile accident on June 15, 2018.    He was 42 years of age.     ,Bob, or “Junior” as he was known colloquially, was a larger-than-life inimitable personality who impacted everyone he came across through his generosity and warm demeanor.    Growing up in a tight-knit family in Kenilworth, NJ, which is known as a “Community of Strength”, Bob attended David Brearley High School before graduating from Arthur L. Johnson High School, and went on to study finance at the University of South Carolina, earning a degree in 1999.,If you were lucky enough to know Bob Jeans, then without a doubt you experienced the joy he could bring into your life. The pleasure of his company alone would improve your outlook, charging a room with boundless positive energy.  In this sense, Bob was a rare person.  Bob was given a gift, a remarkable talent to connect with people through the lost art of human touch; a rare skill in today’s technology-driven, impersonal world.   He capitalized on these skills to build a tremendously successful 18-year career with PGIM Real Estate; and create lasting, meaningful friendships and partnerships with nearly every person who interfaced with him.,Bob was the all the best things in life and brought out the best among us. He was larger than life and had the ability to impact everyone he came across through his generosity and warm demeanor. Bob grew to become an essential figurehead within the social fabric of the New Jersey wrestling community, the Kenilworth Veterans Center, and the commercial real estate industry. Most importantly, Bob was the patriarch of his adoring family of his wife, Kristen, his children, McKenna, Emerson and Declan, the son to his loving parents Lenore and Robert Jeans Sr., and the brother to his caring sister Stacie; in addition to being apart of a large, loving extended family.
                    ","
 of $150,000 goal","KENILWORTH, NJ",1.0k,In Loving Memory of Bob Jeans Jr.,"$184,384 "
,,,,,,,,
"1,232",Memorials,"Created July 24, 2018","

                        Jonathan Gold’s , , mere weeks after he was diagnosed with pancreatic cancer, dealt a concussive blow to Los Angeles, the international food community, his many friends and a legion of devoted readers. But it stunned and devastated his family with whom he shared so many adventures —his wife, Laurie Ochoa; their 23-year old daughter Isabel and 15-year old son Leon.  Jonathan loved being a food critic but he loved his family more, and though they are a valiant trio, his death has unmoored them in many ways, including financial.  Contributions will help them cover immediate expenses and provide for Izzy and Leon’s education.,Photo courtesy of Anne Fishbein.
                    ","
 of $225,000 goal","LOS ANGELES, CA",2.0k,For the Family of Jonathan Gold,"$187,886 "
,,,,,,,,
"2,381",Emergencies,"Created July 12, 2018","

                        Christian is in critical condition after he was shot outside of a wedding reception in Atlanta early Sunday morning, July 8th.   He has undergone several lifesaving surgeries and is in the ICU in Atlanta.  He has a long journey ahead, but his family, friends and the entire medical team continue to be impressed by his strength. Every day he faces new obstacles and we celebrate each of his victories.  Christian’s wife, daughter and family appreciate all of your messages of support and prayers. , ,100% of funds will go directly to Christian’s family.,
                    ","
 of $350,000 goal","WASHINGTON, DC",6.4k,Supporting Christian Broder,"$337,578 "
,,,,,,,,
"2,206",Memorials,"Created July 31, 2018","

                        ,Brian Hughes was loved by everyone he met. He was a funny, enthusiastic, outgoing and all around an amazing human being. His fellow Arrowhead Interagency Hotshots would say he was a great leader who was an iconic Hotshot and was more than just a friend, he was a brother, mentor, and motivator. Brian tragically passed away in the line of duty on July 29, 2018 while battling the Ferguson Fire in Mariposa County. He is survived by his parents, sister, and fiancé who is 3 months pregnant with their first child, as well as their 2 dogs Zephyr and Taco. He was excited and nervous to be a father and would go around asking the other fathers on the crew for some fatherly advice. He loved Paige and his family very much. Brian is a hero who not only gave his life fighting fires but gave back to our country by saving lives and property countless times through his 15 year career. Brian worked all around the country doing what he loved, Alaska Fire Service, Monterey Hand Crew, Rosevelt Hotshots, Midnight Sons Hotshots, and the Larimer County Yellow Jackets to name a few. The Arrowhead family would now like to ask the community to come together to help support his family. All donations will be given directly to his Fiancé Paige and their unborn child to help with anything they might need in their future.
                    ","
 of $5,000 goal","VISALIA, CA",11k,Brian Hughes,"$181,890 "
,,,,,,,,
"3,020",Emergencies,"Created June 16, 2018","

                        On June 14, 2018 Meghan Bigelow was taking her 3 children to a routine Dentist appointment when she became apart of a road rage encounter.  Meghan and 2 of her sons were shot multiple times.  Sadly her oldest son (13) passed away June 14.  Currently Meghan and her youngest son (8) are in critical condition and fighting for their lives.  Her middle son was able to run away unharmed.  Please help us in raising money for this incredible family as they are experiencing such a tragic time and have a long road of recovery ahead of them.,Created with love by the friends and family of the Bigelow’s.
                    ","
 of $275,000 goal","ERIE, CO",20k,Official Bigelow Family,"$270,057 "
,,,,,,,,
"1,080",Emergencies,"Created June 4, 2018","

                        Joel Paavola was a phenomenal man, father, husband, and role model. He was bright, happy go lucky, and never ceased to make you smile. He always put his family first and we want that to carry on after his unfortunate passing. His wife and 5 children were the most important and loved people in his life. Any donation of money, time, or love; no matter how small or large helps carry on what he practiced everyday.
                    ","
 of $75,000 goal","FRANKLIN, TN",5.1k,Supporting the Paavola family,"$261,704 "
,,,,,,,,
"1,827",Emergencies,"Created July 30, 2018","

                        On Saturday July 28th at 9:45PM a tragedy took the life of a 16 year old boy and devastatingly altered the life of his young girlfriend. Ari Arteaga and Indira Rambarran were in a horrible car accident that has  united our two families together forever. We would like to thank the community for the incredible outpour of love and support everyone has provided to the Arteaga and Rambarran Families,  during this most difficult time. Our goal at this moment is to somehow ease the pain for Indira's family, by raising funds to help support her medical care on this long road to recovery.
                    ","
 of $250,000 goal","MIAMI, FL",5.8k,The Arteaga Family for Indira,"$207,557 "
,,,,,,,,
